task_id,study,status,original_objective_mean,original_objective_best,optimum_hit_rate,encoded_energy_mean,auxiliary_inconsistency_rate,statevector_norm
9f2b020a7f43b1f613c6f5b016bb1e55b194a1aa9d982fde6901a2ec7225e72f,targeted,PASS,4.440892098500626e-16,0.0,1.734723475976807e-18,0.0,0.0,0.0
8e359a75bca7e6bdcbe6714ee94ef3f6492f9fe77b65a2dec6050bb9017f2615,targeted,PASS,0.0,0.0,4.336808689942018e-19,3.552713678800501e-15,1.1102230246251565e-16,1.1102230246251565e-16
46754678ca13b36addcc30c266a83fcae92cacab5255b3b7388aade027f81db5,targeted,PASS,4.440892098500626e-16,0.0,0.0,0.0,2.220446049250313e-16,0.0
05d612873b832c2e4fd888ecaecf1a2edd2e1c61bdf8ee1074507723d4799ca9,targeted,PASS,2.4424906541753444e-15,0.0,8.673617379884035e-18,3.197442310920451e-14,1.7763568394002505e-15,1.9984014443252818e-15
933273fccb11aa4e3a5bb239933613ad92d7e7f597c48578b9415d4e236ac0b8,targeted,PASS,4.440892098500626e-16,0.0,1.734723475976807e-18,3.552713678800501e-15,2.220446049250313e-16,0.0
cb053b5ad216f98dc8ccf190bdaa57b9ffdf637b9c064ae2432023f65a2db401,targeted,PASS,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0
feeebb4490284d360a5b962b49ec936079b6dcce85f639ef42a369fcc8d1b6a0,targeted,PASS,1.3877787807814457e-16,0.0,4.336808689942018e-19,0.0,0.0,0.0
1724e603f5c06a8243e8eaa44a8a9c6ad66ab4df44745a816e464158c9791424,targeted,PASS,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,2.220446049250313e-16
85f4c79dbf7683f045222b3afce19617427168bde9c972a57299f397b436d40d,targeted,PASS,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0
04f53c5f69516b69b01f7c68951f63eb958da83c48d3348baf4c4dd584fb300a,targeted,PASS,1.3322676295501878e-15,0.0,0.0,0.0,5.551115123125783e-17,2.220446049250313e-16
65102ef61a8331429f8c9e29ae5c51f0a8186c89ed50fd5782febde9360e04b3,targeted,PASS,8.326672684688674e-17,0.0,0.0,3.552713678800501e-15,0.0,0.0
49307c41523b0022e28b1b65bc0d47c1e98c8a06e91489e6aac205f36efd6183,targeted,PASS,8.881784197001252e-16,0.0,4.336808689942018e-19,1.7763568394002505e-15,0.0,0.0
113f4b6b8ed3707ef48bc8d0f19b625ab1b176370110a988b31412988c4c8f01,targeted,PASS,4.440892098500626e-16,0.0,1.734723475976807e-18,1.7763568394002505e-15,1.1102230246251565e-16,0.0
4a085ff0950f4d53f725a417080bd04a517eab53ff62ca495951b48bd038d634,targeted,PASS,4.440892098500626e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0
2ce060341fcea4caea29d20aa20d159b94d760052ac4f0058b80e5f9a64ac345,targeted,PASS,0.0,0.0,0.0,0.0,0.0,0.0
8a4fde870c06aa98c79bffd875445f3f7cf6f116d5941dafbfd0116accf991bf,targeted,PASS,2.7755575615628914e-16,0.0,8.673617379884035e-19,0.0,1.1102230246251565e-16,0.0
dcd4af9139c9a84cd7d81a015da8fb1ffc4c8c3db5aa51a9b9f9a56b64055163,targeted,PASS,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16
