instance_id,family,tier,split,n,regime,generator_mode,instance_seed,raw_file,raw_sha256,canonical_file,canonical_sha256,validation_status,ground_truth_status,qmax,all_native_width,fully_quadratized_width,selective_width_upper_bound,matched_random_width_upper_bound,all_four_within_qmax,origin,config_sha256,generation_plan_sha256,code_commit
inst_0252ede428af7d5ba638c993716885266bdf345dcd87961e7c927bacd016606c,max3sat,compilation,train,12,high,uniform,8809761004499508498,raw/max3sat/inst_0252ede428af7d5ba638c993716885266bdf345dcd87961e7c927bacd016606c.json,a3bcb52e302f245bb97b8573c523e7084f0002e37810c1f0232ebcff630cc378,canonical/inst_0252ede428af7d5ba638c993716885266bdf345dcd87961e7c927bacd016606c.json,a1befd6cf8f26980421356ccb84d01a9fa7200eb0a1b38373a539aa1fa0582e1,pass,not_run_width_above_declared_exact_limit,,,,,,,formal_compilation_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,cubic_spin_glass,compilation,validation,20,high,uniform,3435302390869810894,raw/cubic_spin_glass/inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17.json,0495816baa303e92a6368a8a093db13eb551c22e051acf746dda56f8452ea9dc,canonical/inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17.json,3aa99210afffa8521716d2dc5e7ea13723c6511c05934137410f1966e674f376,pass,not_run_width_above_declared_exact_limit,,,,,,,formal_compilation_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,cubic_spin_glass,compilation,train,8,high,anchor_pair,5602521004636297548,raw/cubic_spin_glass/inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0.json,6d649d7e944b0348d1be6d3550016455cc58e970485f10dc3bba3fee3d3b5535,canonical/inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0.json,7dfd33170c1528ee428c1caff750c91927b65385ce6d9faf654a5792b24c71df,pass,optimal,,,,,,,formal_compilation_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14,cubic_spin_glass,compilation,validation,12,high,uniform,2216468725341450088,raw/cubic_spin_glass/inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14.json,b539ccce375604c68288bfa60dddd9a9310b81d5d840591f9be21d73e9aa9364,canonical/inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14.json,169ab6d940c4895cb0e3c20ee1d66dda8880bcfc03233c504dabb22f96802386,pass,not_run_width_above_declared_exact_limit,,,,,,,formal_compilation_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9,max3sat,compilation,train,8,high,anchor_pair,4157624505893989557,raw/max3sat/inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9.json,7412cf23bb66870b53b48e3892a0b8261ff647de885b6208ecab10c0bf6c1cd4,canonical/inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9.json,4f4dd0bbd271431ffc3f5c91b04afbc4c478c008e7ad259e2b0917098c1ebe97,pass,optimal,,,,,,,formal_compilation_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_05aaf3936982b612481791b8cbe696e666dbac6b7c6371ca8f9309f2a7262b26,cubic_spin_glass,compilation,train,8,low,uniform,7011141298580065443,raw/cubic_spin_glass/inst_05aaf3936982b612481791b8cbe696e666dbac6b7c6371ca8f9309f2a7262b26.json,1a58c45ef5addd5b9f8dbe342a9e3c05726f7dee867f73c4cbc71c80b691d423,canonical/inst_05aaf3936982b612481791b8cbe696e666dbac6b7c6371ca8f9309f2a7262b26.json,bdff62332bcea39a3df64042edfc5b5106e6eb712a18816856c1ddeb6fdbe9d1,pass,optimal,,8,13,13,13,False,qaoa_qmax_exclusion_promoted,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf,cubic_spin_glass,compilation,test,20,low,uniform,1749263805260164541,raw/cubic_spin_glass/inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf.json,3fe824bb4b6fe142f15ad3c7195a757de6d7454dd1a09e2cc7bf85780aa76eea,canonical/inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf.json,ae81a87b51f31acd4f4f80692beaa5d03042c140235473c808b417a4424988d7,pass,not_run_width_above_declared_exact_limit,,,,,,,formal_compilation_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_09df17a7dbe096483467d57e9c9d266ad5eb41ac3c025e192b9df142b00904b3,cubic_spin_glass,compilation,train,20,intermediate,anchor_pair,3718546926765886150,raw/cubic_spin_glass/inst_09df17a7dbe096483467d57e9c9d266ad5eb41ac3c025e192b9df142b00904b3.json,ea9d94ca08adb44f5147423113d02d72208fe82dc5c710c30a7caf43ac2470c2,canonical/inst_09df17a7dbe096483467d57e9c9d266ad5eb41ac3c025e192b9df142b00904b3.json,584c7c00c92f1fb993f25014fef126f7f07f9acb2ef29b31760078692af67b31,pass,not_run_width_above_declared_exact_limit,,,,,,,formal_compilation_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_0a73f63fb3161b683c1ecca2d45ca1ed0133a0bb6ac68f9b778657cfc7aa7e0f,max3sat,compilation,validation,20,intermediate,uniform,1721529162605629048,raw/max3sat/inst_0a73f63fb3161b683c1ecca2d45ca1ed0133a0bb6ac68f9b778657cfc7aa7e0f.json,b8595eab3eb07b172247316767d00b81dd144dec566efe6d1a2a4f5fe6063acb,canonical/inst_0a73f63fb3161b683c1ecca2d45ca1ed0133a0bb6ac68f9b778657cfc7aa7e0f.json,10773d8f10eabd487773652a55c2a010ccaa657d31a50f86ffb96aa4e16851df,pass,not_run_width_above_declared_exact_limit,,,,,,,formal_compilation_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_0acf907b55a053afe21f59b938b915b2995d1239482407859acb7f7817e7ba44,cubic_spin_glass,compilation,train,12,low,uniform,6786634881176657976,raw/cubic_spin_glass/inst_0acf907b55a053afe21f59b938b915b2995d1239482407859acb7f7817e7ba44.json,013f1162263b02bc0c078497d2395a7ef93a782aa0e64a73f15d32feb4e1cf7a,canonical/inst_0acf907b55a053afe21f59b938b915b2995d1239482407859acb7f7817e7ba44.json,6091ba7634138bc234b3d934d88e781fc7a5fcf445c8c7f807add030b9a8a06e,pass,not_run_width_above_declared_exact_limit,,,,,,,formal_compilation_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
